arg,kp,dropped,score
`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide gives dignity to the person that wants to commit it,[],0.2112453132867813
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,[],0.024188678711652756
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['a'],0.014352010563015938
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġcure'],0.016993895173072815
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġor'],0.01363701093941927
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġtreatment'],0.017628824338316917
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġmay'],0.01797543093562126
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġbe'],0.02048383094370365
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġdiscovered'],0.014490443281829357
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġshortly'],0.015733640640974045
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġafter'],0.03154611214995384
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġhaving'],0.03113608807325363
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġended'],0.017323987558484077
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,"['Ġsomeone', ""'s""]",0.015477165579795837
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,"[""'s""]",0.018901009112596512
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġlife'],0.019357383251190186
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,['Ġunnecessarily'],0.027094166725873947
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,[],0.024188678711652756
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide allows people to solicit someone to die to their own benefit,[],0.024188678711652756
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,[],0.34720414876937866
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['a'],0.2660726010799408
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġcure'],0.18848027288913727
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġor'],0.27071893215179443
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġtreatment'],0.2321268916130066
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġmay'],0.2529046833515167
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġbe'],0.27350667119026184
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġdiscovered'],0.21280458569526672
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġshortly'],0.27866238355636597
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġafter'],0.2836879789829254
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġhaving'],0.3260559141635895
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġended'],0.25122836232185364
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,"['Ġsomeone', ""'s""]",0.2785561680793762
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,"[""'s""]",0.33501315116882324
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġlife'],0.28028616309165955
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,['Ġunnecessarily'],0.45203423500061035
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,[],0.34720414876937866
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide is akin to killing someone,[],0.34720414876937866
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,[],0.004507825244218111
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['a'],0.0036636681761592627
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġcure'],0.0028785590548068285
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġor'],0.00415441207587719
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġtreatment'],0.00419594207778573
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġmay'],0.0037036952562630177
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġbe'],0.004723449237644672
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġdiscovered'],0.002685978077352047
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġshortly'],0.0029898902866989374
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġafter'],0.0037910649552941322
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġhaving'],0.003044434357434511
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġended'],0.003745194524526596
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,"['Ġsomeone', ""'s""]",0.00323087046854198
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,"[""'s""]",0.004159789532423019
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġlife'],0.0037095719017088413
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,['Ġunnecessarily'],0.003960032947361469
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,[],0.004507825244218111
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,[],0.004507825244218111
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,[],0.0027762819081544876
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['a'],0.0021089722868055105
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġcure'],0.0018175687873736024
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġor'],0.0019685537554323673
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġtreatment'],0.00205375999212265
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġmay'],0.00294291228055954
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġbe'],0.003069899510592222
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġdiscovered'],0.0019259167602285743
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġshortly'],0.0016841621836647391
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġafter'],0.0022677734959870577
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġhaving'],0.0022239035461097956
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġended'],0.002807586221024394
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,"['Ġsomeone', ""'s""]",0.002365772146731615
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,"[""'s""]",0.0028215358033776283
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġlife'],0.002706865780055523
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,['Ġunnecessarily'],0.0021023910958319902
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,[],0.0027762819081544876
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide violates the doctor's role,[],0.0027762819081544876
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,[],0.01517448015511036
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['a'],0.017102569341659546
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġcure'],0.011553898453712463
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġor'],0.01580587401986122
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġtreatment'],0.01732170581817627
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġmay'],0.01624848134815693
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġbe'],0.016340453177690506
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġdiscovered'],0.01296637300401926
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġshortly'],0.014866869896650314
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġafter'],0.01892719604074955
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġhaving'],0.013267752714455128
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġended'],0.020727580413222313
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,"['Ġsomeone', ""'s""]",0.012455323711037636
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,"[""'s""]",0.025033706799149513
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġlife'],0.018737899139523506
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,['Ġunnecessarily'],0.01645655184984207
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,[],0.01517448015511036
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People do not have the right to self-harm/harm others,[],0.01517448015511036
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,[],0.004711695946753025
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['a'],0.005676807835698128
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġcure'],0.006123828236013651
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġor'],0.0037503656931221485
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġtreatment'],0.004921711981296539
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġmay'],0.004310667514801025
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġbe'],0.004697001539170742
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġdiscovered'],0.005236105993390083
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġshortly'],0.003590115811675787
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġafter'],0.0038457803893834352
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġhaving'],0.004335009027272463
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġended'],0.005330417305231094
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,"['Ġsomeone', ""'s""]",0.0037134967278689146
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,"[""'s""]",0.004598814994096756
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġlife'],0.004685568157583475
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,['Ġunnecessarily'],0.00425396952778101
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,[],0.004711695946753025
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,People who are ill do not have clear judgement and are in need of help,[],0.004711695946753025
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,[],0.007765678223222494
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['A'],0.005551725625991821
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġpatient'],0.004118983168154955
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġshould'],0.007992216385900974
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġbe'],0.006200090516358614
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġable'],0.008074088022112846
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġto'],0.006559548433870077
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġdecide'],0.007949777878820896
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġwhen'],0.005813027266412973
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġthey'],0.005779934115707874
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġhave'],0.004815341904759407
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġhad'],0.003873917507007718
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,['Ġenough'],0.007691287901252508
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,"['Ġ""', 'care', '"".']",0.006268004886806011
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,"['care', '"".']",0.006133730988949537
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,"['"".']",0.010656844824552536
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide gives dignity to the person that wants to commit it,[],0.007765678223222494
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,[],0.005275404546409845
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['A'],0.003999229054898024
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġpatient'],0.004871121607720852
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġshould'],0.006352555006742477
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġbe'],0.004437207709997892
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġable'],0.005071374122053385
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġto'],0.004449927248060703
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġdecide'],0.004630556330084801
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġwhen'],0.004379525780677795
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġthey'],0.0036334816832095385
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġhave'],0.0031525534577667713
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġhad'],0.0023424262180924416
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,['Ġenough'],0.004193250555545092
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,"['Ġ""', 'care', '"".']",0.007532862946391106
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,"['care', '"".']",0.004123958759009838
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,"['"".']",0.014142604544758797
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide reduces suffering,[],0.005275404546409845
"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,[],0.32146021723747253
"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,['A'],0.2400573045015335
"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,['Ġpatient'],0.10317634791135788
"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,['Ġshould'],0.2009827196598053
"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,['Ġbe'],0.307005912065506
"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,['Ġable'],0.2389361709356308
"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,['Ġto'],0.30262091755867004
"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,['Ġdecide'],0.556066632270813
"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,['Ġwhen'],0.2148786187171936
"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,['Ġthey'],0.22388708591461182
